cite_spans
J Matthiopoulos
J Grime
J Peck
N Blackstone
1q Race
Jensen Routledge & Kegan Paul ; Lynn
P Levitt
T Birkhead
D Costa
C Reynolds
C Taylor
A Melbinger
 King
 Iii
J Nelson
J Fitzpatrick
D Thor
H Kruuk
S Vehrencamp
W Wellington
B Hughes
Japanese 
M Rose
A Houston
J Neel
T Antal
J Mcnamara
P Leyhausen
P Griffiths
P Visscher
T Crow
M Singer
M Hassell
H Pulliam
E Ketterson
R Lindsay
L Slobodkin
M De Aguiar
N Westwood
F Pitelka
R Zajonc
J Hofbauer
R Slatyer
T Reynoldson
J Downhower
B Stacey
J Komdeur
C Nadell
M Gurven
D Buss
K Stiver
M Kuussaari
D Heg
F Walther
A Ross-Gillespie
A Møller
R Brown
E Szathmáry
G Bujalska
M Van Veelen
C Waddington
A Chammah
Richard Dawkins
J Emlen
M Ryan
J Elster
H Horn
M Travisano
B Low
G Hunt
G Vallortigara
J Silk
H Kluijver
D Macdonald
J Roughgarden
G Simpson
M Zwick
Z Wang
J Diggory
R Green
J Davis
R Lee
C Carpenter
P Jouventin
Z Zhang
J Young
A Figueredo
M Kirkpatrick
E Buck
R Thornhill
E Rauch
A Wilson
F Bronson
F Odling-Smee
N Farberow
J Fisher
M Uyenoyama
R Rappaport
S Oyama
S Hodge
D Smith
M Rosenzweig
D Adams
J Lovelock
L Cronk
S Brown
B Lyon
M Kawai
V Abernethy
F Cloak
S Lion
D Dawson
R Mykytowycz
C Mcdougal
D Bowden
J Allen
P Karli
E Wever
E Thomas
D Rankin
B Griffing
J Lawton
W Irons
N Eisenberg
N Chalmers
T Day
J Barchas
C Thomas
R Montgomerie
F Marlowe
A Dhondt
M Loreau
A Leshner
J Weiss
L Mueller
J Hartung
D Stephens
G Stephenson
M Schein
S Creel
J Mcglothlin
N Bennett
J Wiens
E Stammbach
G Woolfenden
E Keverne
F Steiniger
J Bonner
J Verner
B Levin
L Takahashi
E Ostrom
R Plutchik
C Johnson
L Fairbanks
J Heinze
D Cohen
F Gage
F Bercovitch
L Keith
R Lenski
P Ehrlich
K Burnham
J Goodall
A Bandura
D Barash
P Rozin
L Partridge
 Vv
F Hucklebridge
J Nichols
R Selten
D Chepko-Sade
 Blanchard
J Rushton
J Goldsmith
E Dinerstein
J Kaplan
R Boelkins
Joseph Phelps
C Elliott
L Gamal-El-Din
K Kornfeld
S Al-Maliki
A Chaine
R Klein
B Hatchwell
P Ryan
A Lotka
B Wood
D Morse
D Cheney
J Gray
W Breed
M Bekoff
N Henrich
J Schneider
P Anderson
Mary Culnan
W Charlesworth
B White
D Jablonski
P Klopfer
G Wagner
A Richards
S Rohwer
P Greenwood
J Lorberbaum
J Bradbury
D Johnson
F Harrison
L Simmons
P Grant
J Leckman
C Gamble
J Van Arendonk
S Bonhoeffer
N Metcalfe
K Aoki
I Eibl-Eibesfeldt
Jrd Silk
M Willson
N Collias
K Korolev
T Moore
E Service
L Tinbergen
K Popper
C Kenyon
S Watson
D Chapman
W Bossert
C Pennycuick
W Mcdougall
P Popik
B Knauft
K Hyrenbach
F Breden
R Howard
J García
N Hairston
A Whiten
J Sneyd
R Ewer
H Erben
R Blackman
F Gill
P Kropotkin
S Gangestad
J Metz
E Kiers
B Rockenbach
C Britton
M Nice
E Lieberman
W Wheeler
E Jablonka
G Dover
M Lynch
J Deneubourg
G Becker
J Bowlby
S Rose
C Sherif
S Pinker
D Messick
P Nonacs
George Williams
S Brosnan
R Lynn
N Schtickzelle
Y Tremblay
M Khan
H Akil
E Fjerdingstad
L Haartman
R Paine
P Hawley
U Dieckmann
D Ely
R Rose
I Patterson
 Van
A Wood
N Cartwright
R Moreau
S Allison
N Seddon
G Bartholomew
P Stacey
O Harvey
F Guinness
W Knollenberg
G Baldwin
W Thorpe
L Berec
L Beukeboom
R Cook
E Gershon
P Corning
W Mason
D Vining
W Hood
F Santos
M Dawkins
T Killingback
H Hediger
P Prince
A Clark
M Perc
I Rowley
R Powell
K Sankhala
Edward Wilson
L Sharpe
P Errington
B Wallace
P Rothery
M Islam
T Settle
M Fedak
