year,context_type,n,tot_n,prop
2014-01-01,differences,46,1971,0.023338406900050734
2008-01-01,similarities,45,2880,0.015625
2017-01-01,differences,45,644,0.06987577639751552
2014-01-01,uses,43,1971,0.021816336884830034
1990-01-01,background,43,54,0.7962962962962963
2019-01-01,uses,42,1346,0.031203566121842496
2012-01-01,uses,42,2050,0.02048780487804878
2021-01-01,differences,41,854,0.04800936768149883
2018-01-01,similarities,40,1028,0.038910505836575876
2004-01-01,uses,40,1375,0.02909090909090909
1994-01-01,similarities,40,5983,0.006685609226140732
2021-01-01,uses,39,854,0.04566744730679157
2005-01-01,uses,37,449,0.08240534521158129
2018-01-01,differences,36,1028,0.03501945525291829
2004-01-01,differences,36,1375,0.02618181818181818
2003-01-01,differences,36,801,0.0449438202247191
2002-01-01,differences,35,986,0.035496957403651115
2007-01-01,uses,34,1571,0.021642266072565246
2006-01-01,differences,34,1047,0.03247373447946514
1985-01-01,motivation,33,249,0.13253012048192772
2016-01-01,similarities,30,2809,0.01067995728017088
1975-01-01,differences,30,874,0.034324942791762014
1977-01-01,uses,29,2802,0.01034975017844397
1979-01-01,differences,29,1227,0.023634881825590873
1967-01-01,motivation,28,312,0.08974358974358974
2009-01-01,similarities,28,1782,0.015712682379349047
1981-01-01,uses,28,3184,0.008793969849246231
1977-01-01,similarities,27,2802,0.009635974304068522
1998-01-01,differences,27,768,0.03515625
2019-01-01,differences,27,1346,0.020059435364041606
1989-01-01,motivation,27,409,0.06601466992665037
1980-01-01,differences,26,2309,0.01126028583802512
2011-01-01,uses,26,1386,0.01875901875901876
1998-01-01,similarities,26,768,0.033854166666666664
2017-01-01,uses,26,644,0.040372670807453416
2012-01-01,similarities,26,2050,0.012682926829268294
2007-01-01,similarities,24,1571,0.015276893698281349
2001-01-01,motivation,24,382,0.06282722513089005
2011-01-01,differences,24,1386,0.017316017316017316
1993-01-01,differences,24,578,0.04152249134948097
1997-01-01,differences,23,807,0.028500619578686492
2023-01-01,motivation,23,243,0.09465020576131687
1984-01-01,motivation,23,404,0.05693069306930693
1969-01-01,motivation,23,414,0.05555555555555555
1971-01-01,motivation,23,354,0.06497175141242938
2002-01-01,similarities,22,986,0.02231237322515213
1978-01-01,differences,22,1277,0.017227877838684416
2015-01-01,similarities,22,1700,0.012941176470588235
2019-01-01,similarities,21,1346,0.015601783060921248
1972-01-01,motivation,21,455,0.046153846153846156
2014-01-01,extends,21,1971,0.0106544901065449
1999-01-01,extends,20,1186,0.016863406408094434
1968-01-01,motivation,20,224,0.08928571428571429
2013-01-01,similarities,20,1841,0.010863661053775122
1992-01-01,motivation,20,128,0.15625
1977-01-01,differences,20,2802,0.007137758743754461
1981-01-01,similarities,20,3184,0.00628140703517588
1995-01-01,motivation,20,254,0.07874015748031496
1963-01-01,background,19,21,0.9047619047619048
1985-01-01,differences,19,249,0.07630522088353414
2003-01-01,uses,18,801,0.02247191011235955
1972-01-01,similarities,17,455,0.03736263736263736
2002-01-01,extends,17,986,0.017241379310344827
1974-01-01,similarities,17,714,0.023809523809523808
1980-01-01,similarities,17,2309,0.0073624945864010395
1996-01-01,motivation,17,198,0.08585858585858586
1985-01-01,similarities,17,249,0.06827309236947791
1993-01-01,similarities,17,578,0.029411764705882353
1965-01-01,motivation,17,270,0.06296296296296296
1988-01-01,differences,16,126,0.12698412698412698
1967-01-01,differences,15,312,0.04807692307692308
1995-01-01,uses,15,254,0.05905511811023622
2014-01-01,similarities,15,1971,0.0076103500761035
2002-01-01,uses,15,986,0.015212981744421906
1975-01-01,uses,15,874,0.017162471395881007
1973-01-01,uses,15,466,0.032188841201716736
2004-01-01,similarities,15,1375,0.01090909090909091
1982-01-01,differences,15,1051,0.014272121788772598
1976-01-01,differences,14,1092,0.01282051282051282
1974-01-01,uses,14,714,0.0196078431372549
1986-01-01,similarities,14,1601,0.008744534665833853
2001-01-01,differences,14,382,0.03664921465968586
1987-01-01,motivation,14,147,0.09523809523809523
1993-01-01,uses,13,578,0.02249134948096886
1976-01-01,uses,13,1092,0.011904761904761904
1974-01-01,differences,13,714,0.018207282913165267
2008-01-01,extends,13,2880,0.0045138888888888885
1979-01-01,uses,13,1227,0.010594947025264874
2018-01-01,extends,13,1028,0.01264591439688716
1999-01-01,uses,12,1186,0.01011804384485666
1978-01-01,uses,12,1277,0.009397024275646046
2020-01-01,differences,12,773,0.015523932729624839
1991-01-01,motivation,12,351,0.03418803418803419
2005-01-01,differences,12,449,0.026726057906458798
2016-01-01,extends,12,2809,0.004271982912068352
1982-01-01,uses,12,1051,0.011417697431018078
2010-01-01,similarities,12,1782,0.006734006734006734
1999-01-01,differences,12,1186,0.01011804384485666
2021-01-01,extends,11,854,0.01288056206088993
2006-01-01,similarities,11,1047,0.010506208213944603
1978-01-01,similarities,11,1277,0.008613938919342208
1975-01-01,similarities,11,874,0.012585812356979404
1997-01-01,uses,11,807,0.013630731102850062
2019-01-01,extends,11,1346,0.008172362555720654
1973-01-01,differences,10,466,0.02145922746781116
1976-01-01,similarities,10,1092,0.009157509157509158
1979-01-01,similarities,10,1227,0.008149959250203748
1998-01-01,uses,10,768,0.013020833333333334
1969-01-01,differences,10,414,0.024154589371980676
2000-01-01,differences,10,574,0.017421602787456445
1983-01-01,differences,10,770,0.012987012987012988
1990-01-01,motivation,9,54,0.16666666666666666
2009-01-01,extends,9,1782,0.005050505050505051
1985-01-01,uses,9,249,0.03614457831325301
2022-01-01,extends,9,76,0.11842105263157894
2019-01-01,future_work,9,1346,0.006686478454680535
1970-01-01,uses,9,749,0.012016021361815754
2006-01-01,uses,9,1047,0.008595988538681949
2007-01-01,future_work,9,1571,0.005728835136855506
1973-01-01,similarities,9,466,0.019313304721030045
2022-01-01,uses,9,76,0.11842105263157894
2015-01-01,extends,9,1700,0.005294117647058823
1983-01-01,uses,9,770,0.011688311688311689
1988-01-01,similarities,9,126,0.07142857142857142
1980-01-01,uses,8,2309,0.0034647033347769596
1988-01-01,uses,8,126,0.06349206349206349
2017-01-01,similarities,8,644,0.012422360248447204
1965-01-01,differences,8,270,0.02962962962962963
2001-01-01,similarities,8,382,0.020942408376963352
1989-01-01,uses,8,409,0.019559902200488997
1991-01-01,differences,7,351,0.019943019943019943
1973-01-01,future_work,7,466,0.015021459227467811
1970-01-01,differences,7,749,0.009345794392523364
2012-01-01,extends,7,2050,0.0034146341463414634
2021-01-01,similarities,7,854,0.00819672131147541
2014-01-01,future_work,7,1971,0.0035514967021816335
2008-01-01,future_work,7,2880,0.0024305555555555556
1997-01-01,similarities,7,807,0.008674101610904586
1984-01-01,uses,7,404,0.017326732673267328
2001-01-01,uses,7,382,0.01832460732984293
1984-01-01,similarities,7,404,0.017326732673267328
1998-01-01,extends,7,768,0.009114583333333334
2005-01-01,extends,7,449,0.015590200445434299
2000-01-01,extends,6,574,0.010452961672473868
1985-01-01,extends,6,249,0.024096385542168676
1964-01-01,motivation,6,144,0.041666666666666664
2011-01-01,future_work,6,1386,0.004329004329004329
2003-01-01,extends,6,801,0.00749063670411985
2010-01-01,future_work,6,1782,0.003367003367003367
1987-01-01,extends,6,147,0.04081632653061224
2000-01-01,similarities,6,574,0.010452961672473868
1966-01-01,differences,6,423,0.014184397163120567
1997-01-01,extends,6,807,0.007434944237918215
1969-01-01,uses,6,414,0.014492753623188406
1996-01-01,uses,6,198,0.030303030303030304
1988-01-01,motivation,6,126,0.047619047619047616
2021-01-01,future_work,6,854,0.00702576112412178
1981-01-01,extends,6,3184,0.0018844221105527637
1987-01-01,similarities,5,147,0.034013605442176874
2017-01-01,extends,5,644,0.007763975155279503
1973-01-01,extends,5,466,0.01072961373390558
1992-01-01,uses,5,128,0.0390625
2011-01-01,similarities,5,1386,0.0036075036075036075
